nama,provinsi,kabupaten,kecamatan,ketinggian,jenis gunung,status,akses,jarak,elevation gain,latitude,longitude
gunung bandahara,nanggroe aceh darussalam,gayo lues,ketambe,3030,stratovolcano,tidak aktif,buka,23500,1900,3.74994,97.78162
gunung kemiri,nanggroe aceh darussalam,gayo lues,puteri betung,3315,non volcanic,tidak aktif,buka,20000,2100,3.762063,97.483192
gunung kurik,nanggroe aceh darussalam,aceh timur,serba jadi,3085,non volcanic,tidak aktif,buka,16000,1300,4.252266,97.419957
gunung mugajah,nanggroe aceh darussalam,aceh timur,serba jadi,2055,non volcanic,tidak aktif,buka,17500,1400,4.252522,97.420833
gunung burni telong,nanggroe aceh darussalam,bener meriah,timang gajah,2624,stratovolcano,aktif,buka,5100,989,4.817674,96.818949
gunung geureudong,nanggroe aceh darussalam,bener meriah,timang gajah,2885,stratovolcano,aktif,buka,22500,1900,4.811539,96.816601
gunung bateekeubeu,nanggroe aceh darussalam,aceh tengah,ketol,2756,stratovolcano,aktif,buka,25000,1900,4.892201,96.47173
gunung ulumasen,nanggroe aceh darussalam,aceh jaya,sampoiniet,2390,non volcanic,tidak aktif,buka,27500,2000,5.04515,95.633247
gunung kembar,nanggroe aceh darussalam,gayo lues,dabun gelang,2245,non volcanic,tidak aktif,buka,20000,1700,3.828164,97.653098
gunung leuser,nanggroe aceh darussalam,gayo lues,kutapanjang,3404,stratovolcano,aktif,buka,55000,2750,3.757909,97.173956
gunung perkison,nanggroe aceh darussalam,aceh tenggara,batang serangan,2828,non volcanic,tidak aktif,buka,22500,1700,3.623036,97.858076
gunung peuet sague,nanggroe aceh darussalam,pidie,geumpang,2785,stratovolcano,aktif,buka,20000,1900,4.915983,96.328119
gunung seulawah agam,nanggroe aceh darussalam,aceh besar,seulimeum,1726,stratovolcano,aktif,buka,13500,1250,5.448397,95.655192
gunung sibayak,sumatera utara,karo,berastagi,2212,stratovolcano,aktif,buka,4800,373,3.239433,98.50443
gunung sibuatan,sumatera utara,dairi,pegagan hilir,2457,stratovolcano,tidak aktif,buka,17500,1709,2.91889,98.423462
gunung sihabuhabu,sumatera utara,toba,borbor,2300,stratovolcano,tidak aktif,buka,16000,1200,2.167567,99.349742
gunung sinabung,sumatera utara,karo,naman teran,2451,stratovolcano,aktif,tutup,6900,956,3.171262,98.393204
gunung sorik marapi,sumatera utara,mandailing natal,puncak sorik marapi,2145,stratovolcano,aktif,buka,11000,1200,0.687116,99.539
gunung tampulonanjing,sumatera utara,tapanuli selatan,saipar dolok hole,2015,stratovolcano,tidak aktif,buka,17500,1325,1.767525,99.4
gunung sibualbuali,sumatera utara,tapanuli selatan,sipirok,1819,stratovolcano,aktif,buka,13500,1300,1.557158,99.254785
gunung pusuk buhit,sumatera utara,samosir,sianjur mula mula,1972,dormant volcano,tidak aktif,buka,9000,1000,2.605178,98.652082
gunung pinapan,sumatera utara,humbang hasudutan,onan ganjang,2000,stratovolcano,tidak aktif,buka,16000,1300,2.194635,98.597952
gunung lubuk raya,sumatera utara,tapanuli selatan,angkola timur,1900,stratovolcano,tidak aktif,buka,11000,1000,1.478815,99.208871
gunung pantai cermin,sumatera barat,solok dan pesisir selatan,sutera,2690,non volcanic,tidak aktif,buka,1900,1300,1.276748,100.794573
gunung kulabu,sumatera barat,pasaman,dua koto,2179,non volcanic,tidak aktif,tutup,18000,1300,0.467611,99.899785
gunung mande rabiah,sumatera barat,pesisir selatan,lengayang,2430,non volcanic,tidak aktif,buka,22000,1500,1.470695,100.944945
gunung marapi,sumatera barat,tanah datar,sungai tarab,2892,stratovolcano,aktif,tutup,12400,1431,0.379099,100.474295
gunung pasaman,sumatera barat,pasaman barat,tigo nagari,2174,non volcanic,tidak aktif,tutup,20000,1300,0.054199,99.956302
gunung rasan,sumatera barat,pesisir selatan,jurai,2039,non volcanic,tidak aktif,buka,15000,1200,1.173575,100.747057
gunung sago,sumatera barat,tanah datar ,lintau buo utara,2261,compleks volcano,tidak aktif,tutup,22000,1400,0.342647,100.674018
gunung singgalang,sumatera barat,agam,sungai pua,2877,stratovolcano,tidak aktif,tutup,18800,1827,0.388884,100.330704
gunung talamau,sumatera barat,pasaman ,tigo nagari,2920,compleks volcano,tidak aktif,buka,32500,2100,0.080025,99.984295
gunung talang,sumatera barat,solok ,gunuang talang,2597,stratovolcano,aktif,buka,15000,1500,0.975467,100.683975
gunung tambin,sumatera barat,pasaman,lubuk sikaping,2271,non volcanic,tidak aktif,buka,20000,1400,0.139407,100.241952
gunung tandikat,sumatera barat,padang pariaman,padang panjang,2438,stratovolcano,aktif,tutup,22000,1800,0.430038,100.319636
gunung daik,kepulauan riau,lingga,lingga,1165,non volcanic,tidak aktif,buka,18000,900,0.199142,104.55
gunung ranai,kepulauan riau,natuna,bunguran timur,1035,non volcanic,tidak aktif,buka,11000,850,3.950813,108.35
gunung kerinci,jambi,kerinci,gunung kerinci,3805,stratovolcano,aktif,buka,17900,2137,1.695809,101.264081
gunung hulu nilo,jambi,merangin,lembah masurai,2424,stratovolcano,tidak aktif,buka,16000,1200,2.425134,101.781859
gunung kunyit,jambi,kerinci,danau kerinci,2151,stratovolcano fumarol,aktif,buka,15000,1400,2.136252,101.474845
gunung masurai,jambi,merangin,jangkat timur,2980,stratovolcano,tidak aktif,buka,27500,2000,2.501428,101.858419
gunung sumbing (jambi),jambi,merangin,jangkat ,2507,stratovolcano,tidak aktif,buka,20000,1600,2.404203,101.72271
gunung dempo,sumatera selatan,pagar alam,pagar alam utara,3178,stratovolcano,aktif,buka,24000,2200,4.014849,103.12799
gunung krakatau,lampung,lampung selatan,rajabasa,813,stratovolcano,aktif,buka,4300,195,6.101307,105.423288
gunung pesagi,lampung,ogan komering ulu selatan,warkuk ranau sel,3221,stratovolcano,tidak aktif,buka,18000,1500,4.922435,104.145768
gunung pesawaran,lampung,pesawaran,hutan,1662,stratovolcano,tidak aktif,tutup,13000,1100,5.505449,105.081028
gunung rajabasa,lampung,lampung selatan,hutan,1281,stratovolcano,aktif,buka,11000,900,5.780984,105.625619
gunung seminung,lampung,lampung barat,warkuk ranau sel,1881,stratovolcano,aktif,buka,11000,1200,4.910341,103.963119
gunung tanggamus,lampung,tanggamus,hutan,2100,non volcanic,tidak aktif,buka,11000,1500,5.42515,104.675083
gunung kaba,bengkulu,rejang lebong,selupu rejang,1938,stratovolcano,aktif,buka,8000,1300,3.50987,102.626242
gunung andong,jawa tengah,magelang,ngablak,1726,shield volcanoes,aktif,buka,3100,305,7.388592,110.370278
